570,County K,Paved,4.8,11.5,60,Boulder Junction,Vilas,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr60.aspx,7764.39215107416
571,County K,Paved,6.7,11.5,60,Plum Lake,Vilas,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr60.aspx,10773.5793035322
572,Kaderly Rd,Unpaved,1.5,3.2,90,Spring Grove,Green,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr90.aspx,2376.98386410395
573,Katzenburg Dr,Paved,2.1,9.3,82,Ashford,Fond Du Lac,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr82.aspx,3350.96553820314
574,Kearney Rd,Paved,1.4,2.6,85,Spring Prairie,Walworth,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr85.aspx,2321.39945730041
575,Kennedy Rd,Paved,2.1,7.6,66,Benton,Lafayette,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr66.aspx,3301.825836473
576,Kluckhorn St,Paved,0.2,10.1,70,Liberty,Grant,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr70.aspx,384.107222403508
577,Knob Rd,Paved,2.5,8.9,11,Lyons,Walworth,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr11.aspx,4017.81964645807
578,Knollwood Rd,Paved,1,6.6,52,Saukville,Ozaukee,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr52.aspx,1628.35494861042
579,Kuffner Rd,Unpaved,3.4,26,118,Wabeno,Forest,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr118.aspx,5511.21200875743
580,Lake Rd,Paved,1.8,2.2,71,Stone Lake,Washburn,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr71.aspx,2826.71110076009
581,Lakeview Dr,Unpaved,0.8,9,34,Alvin,Forest,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr34.aspx,1262.76314035752
582,Lakeview Dr,Paved,0.2,9,34,Alvin,Forest,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr34.aspx,355.024392485563
583,Lalor Rd,Paved,2.3,2.3,19,Dunn,Dane,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr19.aspx,3679.75924399634
584,Ledge Rd,Unpaved,1,8,106,Leroy,Dodge,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr106.aspx,1605.76572365743
